archivo,severidad,issues
2026_Mauricio_Meyran_Beyond_Gerente_Marketing_Visual_Merchandising_PDV_Retail_BELLEZA_CV-B.md,ALTA,IDIOMA_MIXTO(10) | METRICA_SIN_BOLD(1) | SECCION_SIN_BOLD(5)
2026_Mauricio_Meyran_Confidencial_Gerente_Nacional_de_Visual_Merchandising_CV-B.md,ALTA,"IDIOMA_MIXTO(12) | TIEMPO_VERBAL(2:Colaboro,Lidero) | METRICA_SIN_BOLD(2)"
2026_Mauricio_Meyran_Confidencial_Gerente_de_Visual_Merchandising_CV-B.md,ALTA,IDIOMA_MIXTO(10) | METRICA_SIN_BOLD(1) | SECCION_SIN_BOLD(1)
2026_Mauricio_Meyran_Eurokor_VM_Skincare_CV-B.md,ALTA,"IDIOMA_MIXTO(28) | TIEMPO_VERBAL(3:Coordino,Colaboro,Lidero) | METRICA_SIN_BOLD(2) | SECCION_SIN_BOLD(8)"
2026_Mauricio_Meyran_GDC_Inmobiliaria_Auxiliar_Experiencia_VM_CV-B.md,MEDIA,IDIOMA_MIXTO(24) | METRICA_SIN_BOLD(4)
2026_Mauricio_Meyran_HM_Junior_Retail_Designer_CV-B.md,MEDIA,IDIOMA_MIXTO(170) | SECCION_SIN_BOLD(8)
2026_Mauricio_Meyran_HM_Retail_Designer_CV-B.md,MEDIA,IDIOMA_MIXTO(157) | SECCION_SIN_BOLD(8)
2026_Mauricio_Meyran_IKEA_Visual_Merchandiser_CV-B.md,ALTA,"IDIOMA_MIXTO(12) | TIEMPO_VERBAL(2:Colaboro,Lidero) | METRICA_SIN_BOLD(1)"
2026_Mauricio_Meyran_Inditex_Imagen_y_Visual_Merchandiser_CDMX_CV-B.md,ALTA,"IDIOMA_MIXTO(10) | TIEMPO_VERBAL(2:Coordino,Lidero) | METRICA_SIN_BOLD(1)"
2026_Mauricio_Meyran_Intimissimi_Visual_Merchandising_Coordinator_CV-B.md,ALTA,"IDIOMA_MIXTO(10) | TIEMPO_VERBAL(3:Coordino,Colaboro,Lidero) | METRICA_SIN_BOLD(3)"
2026_Mauricio_Meyran_Juguetron_Visual_Merchandiser_CV-B.md,ALTA,"IDIOMA_MIXTO(15) | TIEMPO_VERBAL(2:Colaboro,Lidero) | METRICA_SIN_BOLD(1)"
2026_Mauricio_Meyran_Multicont_Supervisor_de_Visual_Merchandiser_Cdmx_CV-B.md,ALTA,IDIOMA_MIXTO(3) | TIEMPO_VERBAL(1:Desarrollo) | METRICA_SIN_BOLD(1) | SECCION_SIN_BOLD(5)
2026_Mauricio_Meyran_Multicont_Visual_Merchandiser_CV-B.md,ALTA,"IDIOMA_MIXTO(26) | TIEMPO_VERBAL(2:Coordino,Colaboro) | METRICA_SIN_BOLD(2) | SECCION_SIN_BOLD(8)"
2026_Mauricio_Meyran_SARELLY_Global_Retail_Experience_VM_Manager_CV-B.md,BAJA,IDIOMA_MIXTO(152)
2026_Mauricio_Meyran_ServiciosAndreiMoygo_Gerente_Visual_Merchandising_Desarrollo_Tienda_CV-B.md,ALTA,"IDIOMA_MIXTO(35) | TIEMPO_VERBAL(8:Desarrollo,Coordino,Colaboro,Lidero) | METRICA_SIN_BOLD(2) | SECCION_SIN_BOLD(8)"
2026_Mauricio_Meyran_Tendam_Responsable_de_Visual_Merchandiser_boutiques_CV-B.md,ALTA,"IDIOMA_MIXTO(25) | TIEMPO_VERBAL(2:Coordino,Colaboro) | METRICA_SIN_BOLD(2) | SECCION_SIN_BOLD(8)"
2026_Mauricio_Meyran_Walmart_Analista_Diseno_Modular_Planogramas_CV-B.md,ALTA,IDIOMA_MIXTO(19) | TIEMPO_VERBAL(1:Colaboro) | METRICA_SIN_BOLD(1)
2026_Mauricio_Meyran_ZaraHome_VisualMerchandiser_CV-B.md,ALTA,IDIOMA_MIXTO(9) | TIEMPO_VERBAL(1:Coordino) | METRICA_SIN_BOLD(1)
