archivo,severidad,issues
2026_Mauricio_Meyran_Beyond_Gerente_Marketing_Visual_Merchandising_PDV_Retail_BELLEZA_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Confidencial_Gerente_Nacional_de_Visual_Merchandising_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Confidencial_Gerente_de_Visual_Merchandising_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Eurokor_VM_Skincare_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_GDC_Inmobiliaria_Auxiliar_Experiencia_VM_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_IKEA_Visual_Merchandiser_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Inditex_Imagen_y_Visual_Merchandiser_CDMX_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Intimissimi_Visual_Merchandising_Coordinator_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Juguetron_Visual_Merchandiser_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Multicont_Supervisor_de_Visual_Merchandiser_Cdmx_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Multicont_Visual_Merchandiser_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_ServiciosAndreiMoygo_Gerente_Visual_Merchandising_Desarrollo_Tienda_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Tendam_Responsable_de_Visual_Merchandiser_boutiques_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_Walmart_Analista_Diseno_Modular_Planogramas_CV-B.md,LIMPIO,—
2026_Mauricio_Meyran_ZaraHome_VisualMerchandiser_CV-B.md,LIMPIO,—
