ID_Vacante,Empresa,Rol,URL,Next_Action,JD_File
row000,Parfums Christian Dior,Visual Merchandising Trade Coordinator,https://www.lvmh.com/en/join-us/our-job-offers/PCD22267,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/row000.txt
21213079,Carter's,Assistant Visual Merchandising,https://occ.com.mx/empleo/oferta/21213079-assistant-visual-merchandasing/,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/21213079.txt
8e24a0356e95,Multicont,Supervisor Visual Merchandising,https://mx.indeed.com/viewjob?jk=41ad6ff6f78eb138,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/8e24a0356e95.txt
29ba59be7228,SERVICIOS ANDREI MOYGO,Gerente de Visual Merchandising y Desarrollo de Tienda,https://mx.indeed.com/viewjob?jk=7e8f54e928df2455,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/29ba59be7228.txt
9b68d2078200,GRUPO EUROKOR DE MEXICO,Visual Merchandiser / Retail Skincare,https://mx.indeed.com/pagead/clk/dl?mo=r&ad=-6NYlbfkN0CjPWGOyx512YlmGzyc16sEG87z1LeD9nDc5kJx8FnRhNLzUv7lV_-7i9aiZP5CYbympk-_Hq0ohrWbzGbnRyfwGJmwiDgYbLk-F1-JA8MY8gg4Nu9ZFW9i15biomco5oHcw8vRmXSmcDq18jUPrrCuT7Zya0OMxmX6TolZRaC9CrsYFNClMA7Cmc_vkFJsyqFMOkURjWKudI2cA4DSQzvrC4L2pj3cNCWVWNh3mZFzPa4MwQnESdXF6cMGqKBmLWX93lBg3iSuU_QlIDDJc5D9g5bgWUHpxQtA_Tdl7pEbMaxPFXEcl5cE9oz6ngQYzAjRzGrmH8IRhLlQAmHjsSC7mh72O2Iio2mU1_iUHOpzJSSmiTWyWtQWxyaYjOpc23gVlKbGUO4Uc2JnIIeBb2tlEFfpxmJGKiakgfbz8U8pjskTDDdpJw5gziCoUQrkwF3wXV27mrIPEE61xpwSUhCfX6AlSimHUDqFEkT1toBGQaU38mRPRgCT-PSvfJ1JACZbUGPbs3tN7glkfuyynS47fW9QJr7hM5idlo6TTqQdPFPJ1igPAn0esUxXnohwV96hNBDARO5HQyYU5DCi3AypQ-8iOsO3Cf86HrC9BfJARPTb9Yj79mTTUXBFIWY9bSo1Cd9aMmgr5dIqQyHEk2ZAnHddUo0zCmiaOZi1nMZau0rkT424XBDaSJpNr60XUf4zOvDH-4z7aC6mjzrL_ZYkei-ZMlWDZyehBcEmHKTNmTMPJQz-S9WYxDVrQMJxypV3toL8NdLTw2gTCnjLE7QOwUctEnHDSkeayaz_eppyQYfi11AnXxgm,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/9b68d2078200.txt
86e7da55e1ed,Multicont,Visual Merchandiser,https://mx.indeed.com/viewjob?jk=07f5ef989a4a9638,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/86e7da55e1ed.txt
0cf304a81092,Intimissimi,Visual Merchandising Specialist,https://www.linkedin.com/jobs/view/4437680978,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/0cf304a81092.txt
0601f7c8e642,Multicont,Supervisor de Visual Merchandising y Styling,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-visual-merchandising-y-styling-cdmx-en-cuauhtemoc-f69bbea01c523b0261373e686dcf3405,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/0601f7c8e642.txt
51c1c0e30572,Multicont,Supervisor Visual Merchandising,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-visual-merchandising-cdmx-en-cuauhtemoc-9c181c82eb2f1e0a61373e686dcf3405,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/51c1c0e30572.txt
fa321a735c15,Confidencial,Gerente de Visual Merchandising,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-de-visual-merchandising-en-iztacalco-18460dc7acdf5aeb61373e686dcf3405,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/fa321a735c15.txt
c4abf58dacf6,Milano Operadora,Coordinador de visual merchandising,http://www.occ.com.mx/empleo/oferta/21265675,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/c4abf58dacf6.txt
bfb896375265,CONFIDENCIAL,Gerente de Visual Merchandising / Gerente Nacional de Visual Merchandising,http://www.occ.com.mx/empleo/oferta/21240758,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/bfb896375265.txt
87d3cc4cdeb0,Ikea,Visual Merchandiser,https://jobs.smartrecruiters.com/ikanoretail/744000141598989-visual-merchandiser,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/87d3cc4cdeb0.txt
c5fe857ff9d4,Multicont,Supervisor de Visual Merchandising Styling y Sneakers,https://mx.indeed.com/viewjob?jk=cd5a8222009526d6,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/c5fe857ff9d4.txt
43d7870beb2d,ENCANTO MEXICO SA DE CV,Supervisor de Visual Merchandising,https://mx.indeed.com/viewjob?jk=740bb732d2ee9186,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/43d7870beb2d.txt
e39ce91bae44,GRUPO PARISINA,Visual Merchandising,https://mx.indeed.com/viewjob?jk=dbf13a410f3aacf8,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/e39ce91bae44.txt
529f1e95480e,ARUMA (Belleza),Coordinador de Visual Merchandising - Retail Belleza,https://mx.indeed.com/cmp/Aruma-(belleza)/jobs?jk=cd792883ebf75232,Optimizar,Layer_1/cv_a_pipeline_out/adapted/jd_files/529f1e95480e.txt
27b4ad99a4dd,Beyond,"Gerente Marketing, Visual, Merchandising PDV Retail BELLEZA",https://www.linkedin.com/jobs/view/4452782625/?lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BQARJ8cNzRNCnBdEm19w5Vg%3D%3D&midToken=AQFBbnqwSU_P6A&midSig=0scLEQy8Zrnso1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_text_1_jobid_4452782625_ssid_8740908906_fmid_4yj3pj~msro3esg~ot-null-4yj3pj~msro3esg~ot-null-null&eid=4yj3pj-msro3esg-ot&otpToken=NzRlMDFkOGMyZTg4MTQ1MjQyMmI0MmYyMTg5MDg0NTU0MjkyNjQ5YmMzYjEyOWM2MTEzYWZhMjBmZGIwNjBjMjBiMDkyMTU5Nzk5YjljNzFhYjM1MmM1N2M5MDA0NTQ5M2YyNzg5OGJkYTQ3NzM0MjMyNjA5NGRlNTk5NGNjZGZiMWMzYzUyMmFkZjQsMiwx,Investigar,
4a81678bc7e4,Multicont,Visual Merchandiser Temporal,https://mx.indeed.com/viewjob?jk=998fdc0e5ec88f48,Archivar,
8841fc733147,Indeed,Visual Merchandising Manager,https://mx.indeed.com/jobs?q=visual+merchandising+manager&hl=es&from=ja&l=Ciudad+de+M%C3%A9xico%2C+CDMX&radius=25&alid=6a0f718696b8a77b05a048ba&tmtk=1jvusnohiktur800&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&of=1&fr=t,Archivar,
12bcbb131bb8,Grupo Prom,Visual Merchandising Textil,https://mx.indeed.com/viewjob?jk=7880bdfd0102a22b,Archivar,
b1c52e701aa7,Dior,Visual Merchandising Trade Coordinator,,Investigar,
da35ba77e719,Grupo Encanto,Supervisor de Visual Merchandising,,Investigar,
7782d44dd239,Massimo Dutti,Visual Merchandiser - Parque Duraznos,,Investigar,
92970c29efb5,Zegna,Visual Merchandiser LATAM,,Investigar,
789f26c8574d,LaPieza,Senior Buying & Merchandising Manager Fashion,,Archivar,
50a470d77b92,Grupo Eurokor de México,Visual Merchandiser / Retail Skincare,,Investigar,
0e9b5ca47f0e,Aruma (Belleza),Coordinador de Visual Merchandising - Retail Belleza,,Investigar,
