ID_Vacante,Empresa,Rol,resultado,detalle,scaffold_path
row000,Parfums Christian Dior,Visual Merchandising Trade Coordinator,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_row000.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_row000.md
21213079,Carter's,Assistant Visual Merchandising,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_21213079.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_21213079.md
8e24a0356e95,Multicont,Supervisor Visual Merchandising,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_8e24a0356e95.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_8e24a0356e95.md
29ba59be7228,SERVICIOS ANDREI MOYGO,Gerente de Visual Merchandising y Desarrollo de Tienda,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_29ba59be7228.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_29ba59be7228.md
9b68d2078200,GRUPO EUROKOR DE MEXICO,Visual Merchandiser / Retail Skincare,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_9b68d2078200.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_9b68d2078200.md
86e7da55e1ed,Multicont,Visual Merchandiser,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_86e7da55e1ed.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_86e7da55e1ed.md
0cf304a81092,Intimissimi,Visual Merchandising Specialist,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_0cf304a81092.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_0cf304a81092.md
0601f7c8e642,Multicont,Supervisor de Visual Merchandising y Styling,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_0601f7c8e642.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_0601f7c8e642.md
51c1c0e30572,Multicont,Supervisor Visual Merchandising,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_51c1c0e30572.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_51c1c0e30572.md
fa321a735c15,Confidencial,Gerente de Visual Merchandising,SCAFFOLD_OK,OK — generado: Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_fa321a735c15.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,Layer_1/cv_a_pipeline_out/batch_result/HANDOFF_scaffold_fa321a735c15.md
