ID_Vacante,Empresa,Rol,URL,Next_Action,JD_File
8e24a0356e95,Multicont,Supervisor Visual Merchandising,https://mx.indeed.com/viewjob?jk=41ad6ff6f78eb138,Optimizar,adapted/jd_files/8e24a0356e95.txt
29ba59be7228,SERVICIOS ANDREI MOYGO,Gerente de Visual Merchandising y Desarrollo de Tienda,https://mx.indeed.com/viewjob?jk=7e8f54e928df2455,Optimizar,adapted/jd_files/29ba59be7228.txt
9b68d2078200,GRUPO EUROKOR DE MEXICO,Visual Merchandiser / Retail Skincare,https://mx.indeed.com/pagead/clk/dl?mo=r&ad=-6NYlbfkN0CjPWGOyx512YlmGzyc16sEG87z1LeD9nDc5kJx8FnRhNLzUv7lV_-7i9aiZP5CYbympk-_Hq0ohrWbzGbnRyfwGJmwiDgYbLk-F1-JA8MY8gg4Nu9ZFW9i15biomco5oHcw8vRmXSmcDq18jUPrrCuT7Zya0OMxmX6TolZRaC9CrsYFNClMA7Cmc_vkFJsyqFMOkURjWKudI2cA4DSQzvrC4L2pj3cNCWVWNh3mZFzPa4MwQnESdXF6cMGqKBmLWX93lBg3iSuU_QlIDDJc5D9g5bgWUHpxQtA_Tdl7pEbMaxPFXEcl5cE9oz6ngQYzAjRzGrmH8IRhLlQAmHjsSC7mh72O2Iio2mU1_iUHOpzJSSmiTWyWtQWxyaYjOpc23gVlKbGUO4Uc2JnIIeBb2tlEFfpxmJGKiakgfbz8U8pjskTDDdpJw5gziCoUQrkwF3wXV27mrIPEE61xpwSUhCfX6AlSimHUDqFEkT1toBGQaU38mRPRgCT-PSvfJ1JACZbUGPbs3tN7glkfuyynS47fW9QJr7hM5idlo6TTqQdPFPJ1igPAn0esUxXnohwV96hNBDARO5HQyYU5DCi3AypQ-8iOsO3Cf86HrC9BfJARPTb9Yj79mTTUXBFIWY9bSo1Cd9aMmgr5dIqQyHEk2ZAnHddUo0zCmiaOZi1nMZau0rkT424XBDaSJpNr60XUf4zOvDH-4z7aC6mjzrL_ZYkei-ZMlWDZyehBcEmHKTNmTMPJQz-S9WYxDVrQMJxypV3toL8NdLTw2gTCnjLE7QOwUctEnHDSkeayaz_eppyQYfi11AnXxgm,Optimizar,adapted/jd_files/9b68d2078200.txt
86e7da55e1ed,Multicont,Visual Merchandiser,https://mx.indeed.com/viewjob?jk=07f5ef989a4a9638,Optimizar,adapted/jd_files/86e7da55e1ed.txt
0601f7c8e642,Multicont,Supervisor de Visual Merchandising y Styling,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-visual-merchandising-y-styling-cdmx-en-cuauhtemoc-f69bbea01c523b0261373e686dcf3405,Optimizar,adapted/jd_files/0601f7c8e642.txt
fa321a735c15,Confidencial,Gerente de Visual Merchandising,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-de-visual-merchandising-en-iztacalco-18460dc7acdf5aeb61373e686dcf3405,Optimizar,adapted/jd_files/fa321a735c15.txt
bfb896375265,CONFIDENCIAL,Gerente de Visual Merchandising / Gerente Nacional de Visual Merchandising,http://www.occ.com.mx/empleo/oferta/21240758,Optimizar,adapted/jd_files/bfb896375265.txt
87d3cc4cdeb0,Ikea,Visual Merchandiser,https://jobs.smartrecruiters.com/ikanoretail/744000141598989-visual-merchandiser,Optimizar,adapted/jd_files/87d3cc4cdeb0.txt
c5fe857ff9d4,Multicont,Supervisor de Visual Merchandising Styling y Sneakers,https://mx.indeed.com/viewjob?jk=cd5a8222009526d6,Optimizar,adapted/jd_files/c5fe857ff9d4.txt
4a81678bc7e4,Multicont,Visual Merchandiser Temporal,https://mx.indeed.com/viewjob?jk=998fdc0e5ec88f48,Optimizar,adapted/jd_files/4a81678bc7e4.txt
ec6b5dd1bf26,PARISINA,Visual Merchandising,https://mx.indeed.com/viewjob?jk=85f97a522ec80fc8,Optimizar,adapted/jd_files/ec6b5dd1bf26.txt
57bccd27f398,Walmart de México y Centroamérica,ANALISTA DE DISEÑO MODULAR (PLANOGRAMAS),https://www.linkedin.com/jobs/view/4454554329/?lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BG6H3kGShS4GFKNg2isJTVg%3D%3D&midToken=AQFBbnqwSU_P6A&midSig=0uIn0DA8U5qso1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_text_0_jobid_4454554329_ssid_8740908914_fmid_4yj3pj~msumssow~s7-null-4yj3pj~msumssow~s7-null-null&eid=4yj3pj-msumssow-s7&otpToken=YzVjMTJhYTQ3OGZhNGM3ZTc0ZDRhMDM0YzNjZTM5MTJjODMyMDdmM2NhMTFhMzc0OWY4ZDUyZDE5MjNiNzU5ZGU1ODdhYjJjMGFmNWY0NzcwOTZjNWU4NzQxOTNjYzAwNDdhOWRiZjJjMTRhMDc1OGJkYjUxNjg2MjgyZGY4NzhhNTk0NTNhMzU0Y2UsMiwx,Optimizar,adapted/jd_files/57bccd27f398.txt
85beb52fb96c,Euphoria,Visual Merchandiser,https://www.linkedin.com/jobs/view/4454412330/?lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3B8ai%2FH7jySX6De6DWHQ9e2g%3D%3D&midToken=AQFBbnqwSU_P6A&midSig=1mPi1qh_pJuso1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_text_1_jobid_4454412330_ssid_8740908906_fmid_4yj3pj~msysu13o~is-null-4yj3pj~msysu13o~is-null-null&eid=4yj3pj-msysu13o-is&otpToken=NTlkZjQ5M2ZjOGE3MjIyM2I4MjU5NjY1MzNiNjkxMjA2ZmNjZWE0YTVhNTM5MjI3MWE0MmQ5NDM4ZTMzYTc2YWRiYTU5MThjOWE1MmJmNDI3MGJmNDczMWVkMTU1MzUyNTQwMjZhNWYxODBkODZlNzViOWIwM2RkMjlhYjk5YjcwZDczMGE4YzBiNzAsMiwx,Optimizar,adapted/jd_files/85beb52fb96c.txt
0f5a560376f4,Comercio Excelente,Senior Merchandising Coordinator Central America,https://mx.indeed.com/viewjob?jk=da6889e0284592af,Optimizar,adapted/jd_files/0f5a560376f4.txt
43180fda192d,Dior,Visual Merchandising Trade Coordinator,https://www.lvmh.com/en/join-us/our-job-offers/PCD22267,Optimizar,adapted/jd_files/43180fda192d.txt
c0774f59ed7a,Grupo Encanto,Supervisor de Visual Merchandising,https://www.linkedin.com/jobs/view/4451300603/,Optimizar,adapted/jd_files/c0774f59ed7a.txt
0494686cec3b,Zegna,Visual Merchandiser LATAM,https://www.linkedin.com/jobs/view/4436905367/,Optimizar,adapted/jd_files/0494686cec3b.txt
52006dcb48df,LaPieza,Senior Buying & Merchandising Manager Fashion,https://www.linkedin.com/jobs/view/4449535702/,Optimizar,adapted/jd_files/52006dcb48df.txt
e07e693e2bea,Inditex,IMAGEN Y VISUAL MERCHANDISER CDMX,https://www.inditexpeople.com/ww/en/joinus/offers/MXAGTT6609,Optimizar,adapted/jd_files/e07e693e2bea.txt
2e72b891b51f,Zara,ZARA HOME - VISUAL MERCHANDISER CDMX,https://www.inditexpeople.com/mx/es/joinus/offers/MXAGTT5915,Optimizar,adapted/jd_files/2e72b891b51f.txt
