ID_Vacante,Empresa,Rol,resultado,detalle,scaffold_path
8e24a0356e95,Multicont,Supervisor Visual Merchandising,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_8e24a0356e95.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_8e24a0356e95.md
9b68d2078200,GRUPO EUROKOR DE MEXICO,Visual Merchandiser / Retail Skincare,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_9b68d2078200.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_9b68d2078200.md
29ba59be7228,SERVICIOS ANDREI MOYGO,Gerente de Visual Merchandising y Desarrollo de Tienda,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_29ba59be7228.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_29ba59be7228.md
86e7da55e1ed,Multicont,Visual Merchandiser,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_86e7da55e1ed.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_86e7da55e1ed.md
0601f7c8e642,Multicont,Supervisor de Visual Merchandising y Styling,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_0601f7c8e642.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_0601f7c8e642.md
fa321a735c15,Confidencial,Gerente de Visual Merchandising,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_fa321a735c15.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_fa321a735c15.md
bfb896375265,CONFIDENCIAL,Gerente de Visual Merchandising / Gerente Nacional de Visual Merchandising,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_bfb896375265.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_bfb896375265.md
c5fe857ff9d4,Multicont,Supervisor de Visual Merchandising Styling y Sneakers,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_c5fe857ff9d4.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_c5fe857ff9d4.md
87d3cc4cdeb0,Ikea,Visual Merchandiser,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_87d3cc4cdeb0.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_87d3cc4cdeb0.md
ec6b5dd1bf26,PARISINA,Visual Merchandising,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_ec6b5dd1bf26.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_ec6b5dd1bf26.md
4a81678bc7e4,Multicont,Visual Merchandiser Temporal,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_4a81678bc7e4.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_4a81678bc7e4.md
57bccd27f398,Walmart de México y Centroamérica,ANALISTA DE DISEÑO MODULAR (PLANOGRAMAS),SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_57bccd27f398.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_57bccd27f398.md
43180fda192d,Dior,Visual Merchandising Trade Coordinator,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_43180fda192d.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_43180fda192d.md
0f5a560376f4,Comercio Excelente,Senior Merchandising Coordinator Central America,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_0f5a560376f4.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_0f5a560376f4.md
85beb52fb96c,Euphoria,Visual Merchandiser,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_85beb52fb96c.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_85beb52fb96c.md
c0774f59ed7a,Grupo Encanto,Supervisor de Visual Merchandising,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_c0774f59ed7a.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_c0774f59ed7a.md
52006dcb48df,LaPieza,Senior Buying & Merchandising Manager Fashion,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_52006dcb48df.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_52006dcb48df.md
0494686cec3b,Zegna,Visual Merchandiser LATAM,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_0494686cec3b.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_0494686cec3b.md
e07e693e2bea,Inditex,IMAGEN Y VISUAL MERCHANDISER CDMX,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_e07e693e2bea.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_e07e693e2bea.md
2e72b891b51f,Zara,ZARA HOME - VISUAL MERCHANDISER CDMX,SCAFFOLD_OK,OK — generado: HANDOFF_scaffold_2e72b891b51f.md | Sin Hard Block. Scaffold listo — pasar a Claude para completar Positioning Mode + Gap Analysis.,HANDOFF_scaffold_2e72b891b51f.md
